line_id,count,target,shift
Floor-1-PressShop-Line1,1275,1500,A
Floor-1-PressShop-Line1,1252,1500,B
Floor-1-PressShop-Line1,1424,1500,C
Floor-1-PressShop-Line2,1290,1400,A
Floor-1-PressShop-Line2,1232,1400,B
Floor-1-PressShop-Line2,1349,1400,C
Floor-2-RoboticWeld-Line1,724,850,A
Floor-2-RoboticWeld-Line1,807,850,B
Floor-2-RoboticWeld-Line1,707,850,C
Floor-2-RoboticWeld-Line2,823,900,A
Floor-2-RoboticWeld-Line2,852,900,B
Floor-2-RoboticWeld-Line2,874,900,C
Floor-3-BatteryPack-Line1,516,600,A
Floor-3-BatteryPack-Line1,553,600,B
Floor-3-BatteryPack-Line1,529,600,C
Floor-3-BatteryPack-Line2,595,650,A
Floor-3-BatteryPack-Line2,604,650,B
Floor-3-BatteryPack-Line2,607,650,C
Floor-3-InverterAssy-Line3,1067,1100,A
Floor-3-InverterAssy-Line3,956,1100,B
Floor-3-InverterAssy-Line3,1043,1100,C
Floor-4-PaintInspection-Line1,1079,1200,A
Floor-4-PaintInspection-Line1,1048,1200,B
Floor-4-PaintInspection-Line1,984,1200,C
Floor-4-FinalAssembly-Line2,872,950,A
Floor-4-FinalAssembly-Line2,779,950,B
Floor-4-FinalAssembly-Line2,844,950,C
Floor-4-Packaging-Line3,1887,2200,A
Floor-4-Packaging-Line3,2006,2200,B
Floor-4-Packaging-Line3,1986,2200,C
Floor-1-PressShop-Line1,1334,1500,A
Floor-1-PressShop-Line1,1318,1500,B
Floor-1-PressShop-Line1,1349,1500,C
Floor-1-PressShop-Line2,1331,1400,A
Floor-1-PressShop-Line2,1185,1400,B
Floor-1-PressShop-Line2,1357,1400,C
Floor-2-RoboticWeld-Line1,725,850,A
Floor-2-RoboticWeld-Line1,711,850,B
Floor-2-RoboticWeld-Line1,783,850,C
Floor-2-RoboticWeld-Line2,786,900,A
Floor-2-RoboticWeld-Line2,820,900,B
Floor-2-RoboticWeld-Line2,881,900,C
Floor-3-BatteryPack-Line1,513,600,A
