line_id,count,target,shift
Floor-4-Wing-South-Line-5,1080,1200,C
Floor-1-Wing-North-Line-3,1012,1200,C
Floor-4-Wing-South-Line-5,1316,1500,C
Floor-4-Wing-South-Line-4,1374,1500,C
Floor-2-Wing-North-Line-1,638,800,A
Floor-1-Wing-North-Line-3,1467,1500,C
Floor-3-Wing-North-Line-3,2000,2000,B
Floor-2-Wing-North-Line-5,776,800,B
Floor-2-Wing-South-Line-4,748,800,B
Floor-4-Wing-South-Line-5,716,800,A
Floor-1-Wing-North-Line-4,641,800,B
Floor-4-Wing-South-Line-4,396,500,B
Floor-3-Wing-North-Line-2,1091,1200,C
Floor-1-Wing-North-Line-4,1860,2000,B
Floor-4-Wing-North-Line-2,1089,1200,A
Floor-4-Wing-North-Line-2,404,500,C
Floor-2-Wing-South-Line-5,1629,2000,B
Floor-5-Wing-North-Line-2,975,1200,A
Floor-1-Wing-North-Line-4,993,1200,B
Floor-4-Wing-North-Line-1,479,500,C
Floor-4-Wing-South-Line-2,1806,2000,A
Floor-1-Wing-North-Line-5,415,500,A
Floor-4-Wing-North-Line-5,499,500,A
Floor-2-Wing-North-Line-1,1512,1500,B
Floor-3-Wing-North-Line-4,1825,2000,C
Floor-5-Wing-North-Line-1,679,800,A
Floor-5-Wing-North-Line-2,1632,2000,C
Floor-4-Wing-South-Line-2,1617,2000,C
Floor-3-Wing-North-Line-5,1082,1200,B
Floor-3-Wing-North-Line-1,1373,1500,B
Floor-4-Wing-South-Line-1,1986,2000,B
Floor-4-Wing-South-Line-4,1356,1500,B
Floor-1-Wing-South-Line-3,1288,1500,C
Floor-2-Wing-North-Line-3,1818,2000,A
Floor-5-Wing-South-Line-1,1501,1500,A
Floor-4-Wing-South-Line-3,1095,1200,A
Floor-2-Wing-North-Line-3,1388,1500,A
Floor-1-Wing-South-Line-4,1176,1500,B
Floor-2-Wing-South-Line-2,451,500,C
Floor-4-Wing-South-Line-4,2030,2000,A
